iter	Passed	Remaining
445	1197	12228
446	1200	12225
447	1202	12223
448	1205	12220
449	1207	12213
450	1210	12207
451	1212	12201
452	1215	12195
453	1217	12193
454	1220	12191
455	1222	12186
456	1225	12180
457	1227	12175
458	1230	12171
459	1233	12170
460	1235	12166
461	1238	12161
462	1240	12155
463	1242	12150
464	1245	12145
465	1247	12141
466	1251	12143
467	1253	12140
468	1256	12137
469	1258	12132
470	1261	12127
471	1263	12122
472	1266	12121
473	1269	12118
474	1271	12114
475	1274	12108
476	1276	12102
477	1278	12096
478	1281	12091
479	1283	12087
480	1286	12083
481	1288	12078
482	1290	12073
483	1293	12068
484	1295	12062
485	1298	12061
486	1301	12058
487	1303	12055
488	1306	12049
489	1308	12044
490	1311	12039
491	1313	12036
492	1316	12032
493	1318	12030
494	1321	12025
495	1323	12021
496	1326	12016
497	1328	12010
498	1331	12008
499	1333	12005
500	1336	12000
501	1338	11996
502	1341	11992
503	1343	11986
504	1346	11984
505	1349	11983
506	1351	11978
507	1354	11973
508	1356	11969
509	1359	11965
510	1362	11965
511	1364	11964
512	1367	11961
513	1369	11956
514	1372	11951
515	1374	11946
516	1377	11944
517	1380	11942
518	1382	11937
519	1385	11932
520	1387	11928
521	1389	11923
522	1392	11919
523	1395	11917
524	1397	11915
525	1400	11911
526	1402	11907
527	1405	11902
528	1407	11897
529	1410	11895
530	1412	11891
531	1415	11889
532	1418	11884
533	1420	11880
534	1423	11876
535	1425	11872
536	1428	11872
537	1431	11870
538	1433	11864
539	1436	11863
540	1438	11859
541	1441	11855
542	1444	11855
543	1447	11852
544	1449	11848
545	1451	11844
546	1454	11839
547	1456	11835
548	1460	11841
549	1463	11841
550	1466	11838
551	1468	11834
552	1470	11828
553	1473	11823
554	1476	11824
555	1478	11821
556	1481	11816
557	1483	11813
558	1486	11811
559	1489	11807
560	1492	11812
561	1495	11809
562	1497	11805
563	1500	11800
564	1502	11794
565	1505	11790
566	1507	11788
567	1510	11785
568	1513	11783
569	1515	11778
570	1517	11773
571	1520	11769
572	1523	11772
573	1526	11770
574	1529	11767
575	1531	11763
576	1534	11759
577	1536	11756
578	1539	11751
579	1542	11751
580	1544	11747
